player_name,offense_points,defense_points,overall_points,total_seasons,primary_position
Swapnil Dilip Shinde,0.0,25.630239771027384,10.821201599467864,2,"Defender, right cover"
T. Prasad,0.0,5.747317348769642,2.4344282945214064,2,All Rounder
Tae Deok Eom,1.4686802982898524,4.42893659089337,2.6571497367030994,4,All Rounder
Takamitsu Kono,0.30378007010591984,0.27845404751094444,0.3412947310575858,1,All Rounder
Tapas Pal,0.0,14.930424420817692,6.243172478354178,2,All Rounder
Tushar Balaram Bhoir,0.0,11.996358333190763,4.961144959292565,1,"Defender, right cover"
Tushar Patil,16.73863352443697,1.164114625415937,8.667874327691841,5,Raider
Umesh Mhatre,7.968859239343682,17.062666829201532,10.518482152802008,3,Raider
V. Ajith Kumar,28.160674601805358,0.0,14.407901277036505,1,Raider
Varinder Singh,0.0,13.114069919043667,5.516630677644567,1,"Defender, left cover"
Victor Onyango Obiero,0.838946135427876,0.0,0.5252803511901206,2,All Rounder
Vijay,11.375032192531714,20.46009694432414,15.606680381029603,3,All Rounder
Vijay Kumar,0.40951841304454834,16.503476659303136,7.0181338916310345,3,"Defender, right corner"
Vijay Malik,10.271899668997088,0.0,4.379762577625936,1,Raider
Vijender Singh,0.2705519337175667,40.714272910560275,16.99013589977076,1,"Defender, left corner"
Vijin Thangadurai,0.0,23.07306943939753,9.565271136192615,5,"Defender, right cover"
