Unnamed: 0,match_id,match_number,date,start_time,result,player_id_of_the_match,player_name_of_the_match,series_id,series_name,status,toss_winner,toss_selection,venue_id,venue_name,home_team_id,home_team_name,season
76,164,Match 43,2/24/2016,20:00,Telugu Titans beat Dabang Delhi (44-36),81.0,81.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",,Dabang Delhi,3
77,1647,Match 7,5/16/2019,20:00,Diler Delhi beat Mumbai Che Raje (56-35),141.0,141.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,238,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Mumbai Che Raje,4
78,1648,Match 8,5/16/2019,21:00,Chennai Challengers beat Telugu Bulls (51-29),2541.0,2541.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,241,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Chennai Challengers,2
79,1649,Match 9,5/17/2019,20:00,Bangalore Rhinos beat Haryana Heros (47-41),2563.0,2563.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,243,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Bangalore Rhinos,4
80,165,Match 44,2/25/2016,20:00,U Mumba beat Bengaluru Bulls (39-18),29.0,29.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",,Bengaluru Bulls,4
81,1650,Match 10,5/17/2019,21:00,Pune Pride beat Pondicherry Predators (47-36),2634.0,2634.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,236,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",236.0,Pune Pride,7
82,1652,Match 12,5/18/2019,21:00,Match Tied,2535.0,2535.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,239,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,,3
83,1654,Match 14,5/19/2019,21:00,Pondicherry Predators beat Bangalore Rhinos (40-31),2642.0,2642.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,240,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Pondicherry Predators,6
84,1655,Match 15,5/19/2019,22:00,Diler Delhi beat Chennai Challengers (49-37),141.0,141.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,239,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Diler Delhi,6
85,1659,Match 19,5/21/2019,20:00,Diler Delhi beat Mumbai Che Raje (45-36),141.0,141.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,242,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Diler Delhi,4
86,166,Match 45,2/25/2016,21:00,Patna Pirates beat Dabang Delhi (67-34),326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",,Dabang Delhi,3
87,1660,Match 20,5/21/2019,21:00,Chennai Challengers beat Telugu Bulls (33-32),2611.0,2611.0,51,"Indo International Premier Kabaddi League, 2019",Full Time,239,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Telugu Bulls,2
88,167,Match 46,2/26/2016,20:00,Puneri Paltan beat Telugu Titans (41-24),41.0,41.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,7,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",,Puneri Paltan,6
89,168,Match 47,2/26/2016,21:00,Match Tied,264.0,264.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",,,2
90,1685,Match 1,7/20/2019,19:30,U Mumba beat Telugu Titans (31-25),,,49,"Pro Kabaddi League Season 7, 2019",Full Time,5,Choice of court :Left,9,"Gachibowli Indoor Stadium, Hyderabad",8.0,Telugu Titans,7
91,1686,Match 2,7/20/2019,20:30,Bengaluru Bulls beat Patna Pirates (34-32),318.0,318.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,6,Choice of court :Left,9,"Gachibowli Indoor Stadium, Hyderabad",,Bengaluru Bulls,3
92,1687,Match 3,7/21/2019,19:30,Gujarat Fortunegiants beat Bengaluru Bulls (42-24),318.0,318.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,31,Choice of court :Left,9,"Gachibowli Indoor Stadium, Hyderabad",,Gujarat Fortunegiants,6
93,1688,Match 4,7/21/2019,20:30,Tamil Thalaivas beat Telugu Titans (39-26),81.0,81.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,8,Choice of court :Right,9,"Gachibowli Indoor Stadium, Hyderabad",8.0,Telugu Titans,6
94,1689,Match 5,7/22/2019,19:30,Jaipur Pink Panthers beat U Mumba (42-23),41.0,41.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,5,Choice of court :Right,9,"Gachibowli Indoor Stadium, Hyderabad",,U Mumba,4
95,169,Match 48,2/27/2016,20:00,Puneri Paltan beat Bengaluru Bulls (44-27),26.0,26.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",,Bengaluru Bulls,6
96,1690,Match 6,7/22/2019,20:30,Haryana Steelers beat Puneri Paltan (34-24),2357.0,2357.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,7,Choice of court :Right,9,"Gachibowli Indoor Stadium, Hyderabad",,Haryana Steelers,6
97,1691,Match 7,7/24/2019,19:30,Bengal Warriors beat U.P. Yoddha (48-17),484.0,484.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,30,Choice of court :Right,9,"Gachibowli Indoor Stadium, Hyderabad",,Bengal Warriors,4
98,1692,Match 8,7/24/2019,20:30,Dabang Delhi K.C. beat Telugu Titans (34-33),115.0,115.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,2,Choice of court :Left,9,"Gachibowli Indoor Stadium, Hyderabad",8.0,Telugu Titans,2
99,1693,Match 9,7/25/2019,19:30,Dabang Delhi K.C. beat Tamil Thalaivas (30-29),2296.0,2296.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,29,Choice of court :Left,9,"Gachibowli Indoor Stadium, Hyderabad",,Dabang Delhi K.C.,3
100,1694,Match 10,7/26/2019,19:30,Gujarat Fortunegiants beat U.P. Yoddha (44-19),686.0,686.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,30,Choice of court :Right,9,"Gachibowli Indoor Stadium, Hyderabad",,Gujarat Fortunegiants,4
101,1695,Match 11,7/26/2019,20:30,Patna Pirates beat Telugu Titans (34-22),197.0,197.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,6,Choice of court :Left,9,"Gachibowli Indoor Stadium, Hyderabad",8.0,Telugu Titans,4
102,1696,Match 12,7/27/2019,19:30,U Mumba beat Puneri Paltan (33-23),2024.0,2024.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,5,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",5.0,U Mumba,1
103,1697,Match 13,7/27/2019,20:30,Jaipur Pink Panthers beat Bengal Warriors (27-25),219.0,219.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,3,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",,Jaipur Pink Panthers,5
104,1698,Match 14,7/28/2019,19:30,Dabang Delhi K.C. beat Haryana Steelers (41-21),2296.0,2296.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,28,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",,Dabang Delhi K.C.,7
105,1699,Match 15,7/28/2019,20:30,Bengaluru Bulls beat U Mumba (30-26),318.0,318.0,49,"Pro Kabaddi League Season 7, 2019",Full Time,5,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",5.0,U Mumba,3
106,17,Match 17,8/4/2014,20:00,U Mumba beat Puneri Paltan (44 - 28),105.0,105.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,7,Choice of court : Right,2,"Thyagaraj Sports Complex, Delhi",,U Mumba,1
107,170,Match 49,2/27/2016,21:00,Bengal Warriors beat Dabang Delhi (37-31),12.0,12.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",,Dabang Delhi,3
