Player Name,Season,Team,do_or_die,high_5s,raid_points,raidpoints,successful_raids,successful_tackles,super_10s,super_raids,super_takels,tackle_points,total_points
Deepak Narwal,3,Patna Pirates,6,0,3,31,21,1,1,0,1,0,33
Deepak Narwal,4,Dabang Delhi K.C.,4,0,2,13,8,0,0,0,0,0,13
Deepak Narwal,5,Bengal Warriors,25,0,5,85,71,2,4,1,0,0,87
Deepak Narwal,6,Patna Pirates,9,0,4,70,55,4,3,1,0,0,74
Deepak Narwal,7,Jaipur Pink Panthers,10,0,2,37,32,1,0,0,0,0,38
Deepak Niwas Hooda,1,Telugu Titans,8,0,6,87,72,2,3,3,0,0,89
Deepak Niwas Hooda,2,Telugu Titans,8,3,4,60,54,32,1,1,4,2,96
Deepak Niwas Hooda,3,Puneri Paltan,21,0,5,69,62,7,1,0,0,0,76
Deepak Niwas Hooda,4,Puneri Paltan,34,0,7,126,108,4,2,0,0,0,130
Deepak Niwas Hooda,5,Puneri Paltan,47,0,7,172,127,13,7,8,1,0,186
Deepak Niwas Hooda,6,Jaipur Pink Panthers,23,1,8,196,162,11,10,4,1,0,208
Deepak Niwas Hooda,7,Jaipur Pink Panthers,18,0,6,99,78,7,4,2,1,0,107
Deepak Yadav,5,U Mumba,0,0,0,0,0,7,0,0,1,2,8
Dharmaraj Cheralathan,1,Bengaluru Bulls,3,2,1,13,8,34,0,0,5,2,52
Dharmaraj Cheralathan,2,Bengaluru Bulls,2,2,1,19,15,41,0,0,1,2,61
Dharmaraj Cheralathan,3,Telugu Titans,1,2,0,6,3,28,0,0,3,2,37
Dharmaraj Cheralathan,4,Patna Pirates,0,4,0,2,2,31,0,0,8,2,41
Dharmaraj Cheralathan,5,Puneri Paltan,0,0,0,0,0,24,0,0,1,1,25
Dharmaraj Cheralathan,6,U Mumba,0,1,0,0,0,37,0,0,3,1,40
Dharmaraj Cheralathan,7,Haryana Steelers,0,1,0,2,1,30,0,0,3,2,35
Dharmender,6,Gujarat Fortunegiants,0,0,1,5,2,0,0,1,0,0,5
Dinesh Kumar,2,Bengal Warriors,4,0,2,19,17,0,0,0,0,0,19
Dong Geon Lee,5,Tamil Thalaivas,13,0,1,29,24,0,0,0,0,0,29
Dong Geon Lee,6,Gujarat Fortunegiants,0,0,2,31,22,0,1,1,0,0,31
Dong Geon Lee,7,U Mumba,4,0,2,10,7,0,0,0,0,0,10
Dong Ju Hong,1,"Bengaluru Bulls, Dabang Delhi K.C.",0,0,0,1,1,0,0,0,0,0,1
Dong Ju Hong,5,"Bengaluru Bulls, U Mumba",0,0,0,1,0,0,0,0,0,0,1
Dovlet Boshimov,1,Patna Pirates,1,0,0,4,3,0,0,0,0,0,4
E Subash,5,U Mumba,0,0,0,0,0,2,0,0,1,1,3
E Subash,6,U Mumba,0,0,0,0,0,1,0,0,0,0,1
Ehsan Zamani Fard,1,Dabang Delhi K.C.,0,0,0,4,3,2,0,0,0,0,6
Elangeshwaran R,5,Telugu Titans,4,0,2,12,7,2,0,1,2,0,16
Elavarasan A,7,Jaipur Pink Panthers,0,0,0,0,0,3,0,0,1,1,4
Emad Sedaghatnia,7,Puneri Paltan,0,0,0,1,1,0,0,0,0,0,1
Farhad Kamal Gharibi,1,Bengal Warriors,0,0,0,0,0,1,0,0,1,0,2
Farhad Rahimi Milaghardan,5,Telugu Titans,1,0,0,6,5,22,0,0,0,1,28
Farhad Rahimi Milaghardan,6,Telugu Titans,3,1,1,22,17,21,0,0,4,1,47
Farhad Rahimi Milaghardan,7,Telugu Titans,3,0,1,17,15,22,0,0,0,1,39
Fazel Atrachali,2,U Mumba,0,1,0,1,1,9,0,0,2,2,12
Fazel Atrachali,3,U Mumba,0,2,0,1,0,32,0,0,0,2,33
Fazel Atrachali,4,Patna Pirates,0,4,0,0,0,45,0,0,7,3,52
Fazel Atrachali,5,Gujarat Fortunegiants,0,4,0,0,0,54,0,0,3,2,57
Fazel Atrachali,6,U Mumba,0,6,0,0,0,80,0,0,3,3,83
Fazel Atrachali,7,U Mumba,0,2,0,2,1,47,0,0,3,3,52
G.S. Manikandan,2,Dabang Delhi K.C.,0,0,0,0,0,9,0,0,1,0,10
